id,hotel_name,Price,hotel_rating,amenities
1018,The Desert Mirage Inn,181,3.5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Babysitting', 'Concierge', 'Golf Course', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Public Wifi', 'Non-smoking rooms']"
1019,Oasis Springs Lodge,188,4,['Free High Speed Internet (WiFi)']
1020,The Golden Canyon Retreat,199,4.5,"['Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']"
1021,The Wild Cactus Inn,223,5,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1022,Canyon Ridge Lodge,537,4,"['Pool', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Wheelchair Access', 'Kitchenette']"
1023,The Sunlit Mesa,261,4,"['Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Self-Serve Laundry', 'Non-smoking rooms', 'Suites']"
1024,The Saguaro View,276,5,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1025,The Starlight Desert,189,3.5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']"
1026,The Desert Mirage Lodge,191,3.7,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1027,The Golden Cactus Retreat,188,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1028,The Desert Pines,200,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1029,Sierra Ridge Lodge,181,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1030,The Sunset Springs Inn,276,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1031,The Whispering Grove,256,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1032,Red Rock Vista,183,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1033,The Cactus Hollow Inn,188,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1042,Sunset Canyon Retreat,242,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1043,The Desert Pearl,296,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1044,The Desert Haven Inn,273,4.5,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1045,Cedar Vista Lodge,198,4,"['Pool', 'Restaurant', 'Room service', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Airport transportation', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1046,The Saguaro Desert,294,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1047,The Desert Ridge,186,4,"['Pool', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Spa', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1048,The Copper Creek Inn,188,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1049,Sunset Hills Retreat,188,4,"['Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Pool', 'Room service', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1050,The Tranquil Valley,196,4.5,"['Pool', 'Fitness Centre with Gym / Workout Room', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Room service', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1051,The Desert Dunes,248,4.5,"['Free High Speed Internet (WiFi)', 'Pool', 'Free parking', 'Fitness Centre with Gym / Workout Room', 'Breakfast included', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Conference Facilities', 'Dry Cleaning', 'Golf Course', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1052,Sagebrush Springs Lodge,181,4.5,"['Free High Speed Internet (WiFi)', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Restaurant', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1053,The Prickly Pear Grove,200,4.5,"['Free High Speed Internet (WiFi)', 'Pool', 'Room service', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Airport transportation', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1055,The Golden Rocks Inn,179,4.5,"['Pool', 'Free High Speed Internet (WiFi)', 'Free parking', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms']"
1056,The Desert Cove,164,4,"['Pool', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Paid Internet', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1057,The Cactus View Inn,190,4.5,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1058,The Solitary Canyon,190,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1059,The Suncrest Lodge,194,4,"['Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Free parking', 'Breakfast included', 'Room service', 'Restaurant', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1060,The Desert Whisper,199,4,"['Free parking', 'Pool', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Airport transportation', 'Business Centre with Internet Access', 'Concierge', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1061,The Twilight Sands,190,5,"['Room service', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Free parking', 'Restaurant', 'Breakfast included', 'Business Centre with Internet Access', 'Concierge', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Minibar', 'Non-smoking rooms', 'Suites']"
1062,The Amber Ridge,199,4.5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Children Activities (Kid / Family Friendly)', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms']"
1063,Cactus Blossom Lodge,197,5,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Dry Cleaning', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']"
1064,The Silver Ridge,206,4,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1065,Desert Springs Retreat,200,3.5,"['Pool', 'Free parking', 'Room service', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Airport transportation', 'Banquet Room', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1066,The Golden Oasis,272,4,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Business Centre with Internet Access', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']"
1067,The Sierra Breeze,186,3.5,"['Free parking', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Free High Speed Internet (WiFi)', 'Pool', 'Airport transportation', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Electric vehicle charging station', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1068,The Cactus Desert,189,3.5,"['Pool', 'Free parking', 'Restaurant', 'Room service', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Spa', 'Banquet Room', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Conference Facilities', 'Dry Cleaning', 'Golf Course', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Smoking rooms available', 'Suites']"
1069,The Twilight Grove Lodge,185,5,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Business Centre with Internet Access', 'Indoor pool', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Non-smoking rooms']"
1070,The Canyon Path Inn,184,3.5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Breakfast Available', 'Business Centre with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1071,The Red Ridge Retreat,187,4,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Dry Cleaning', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']"
1072,The Copper Mesa Lodge,168,4,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Breakfast included', 'Breakfast Available', 'Business Centre with Internet Access', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']"
1073,The Sunset Grove Inn,188,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1074,The Desert Trail Lodge,190,5,"['Free High Speed Internet (WiFi)', 'Pool', 'Room service', 'Free parking', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Airport transportation', 'Business Centre with Internet Access', 'Dry Cleaning', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Shuttle Bus Service', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette']"
1075,The Amber Sands Inn,200,3,"['Pool', 'Free parking', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Airport transportation', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms', 'Suites']"
1077,Canyon Springs Retreat,185,3,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Free parking', 'Business Centre with Internet Access', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Non-smoking rooms']"
1078,The Saguaro Grove,230,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1079,Sunrise Ridge Inn,186,3,"['Restaurant', 'Free parking', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Room service', 'Banquet Room', 'Conference Facilities', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1080,The Twilight Oasis Inn,188,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1081,The Golden Blossom,186,3.5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Restaurant', 'Room service', 'Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']"
1082,Cactus Canyon Inn,246,3,"['Free parking', 'Room service', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Breakfast Available', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Smoking rooms available']"
1083,The Desert Pine Lodge,183,4.5,"['Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']"
1084,The Saguaro Trail,195,3.5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']"
1085,Sunset Creek Retreat,180,4.5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Breakfast Available', 'Business Centre with Internet Access', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']"
1086,The Desert Willow Inn,182,4.5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Breakfast Available', 'Concierge', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Suites']"
1087,The Red Sands Lodge,200,3,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']"
1088,The Desert Canyon,183,3.7,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']"
1089,The Copper Ridge,191,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1090,The Dunecrest Lodge,191,4.5,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1091,Sunrise Desert Retreat,223,3,"['Free High Speed Internet (WiFi)', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Business Centre with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']"
1092,The Desert Mirage Inn,180,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1093,Cactus Bloom Lodge,162,4.5,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Business Centre with Internet Access', 'Multilingual Staff', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms', 'Smoking rooms available', 'Suites']"
1094,The Solitude Mesa,196,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1095,Redstone Mesa Lodge,189,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1096,The Desert Oasis,182,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1097,The Amber Creek Lodge,180,4.5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Business Centre with Internet Access', 'Concierge', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']"
1098,The Sunridge Retreat,200,5,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1099,The Wild Canyon Inn,495,3.7,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Laundry Service', 'Wheelchair Access', 'Family Rooms']"
1100,The Silver Sands Lodge,187,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1101,Sunset Ridge Lodge,192,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1102,The Golden Creek,195,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1103,The Whispering Dunes,196,,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1104,Sierra Solitude Lodge,185,4.5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Meeting rooms', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']"
1105,The Saguaro Rest,209,5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Non-smoking rooms']"
1107,The Desert Path Inn,675,4.5,"['Free High Speed Internet (WiFi)', 'Pets Allowed ( Dog / Pet Friendly )']"
1108,Red Rock Springs,183,5,"['Room service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Airport transportation', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Conference Facilities', 'Laundry Service', 'Shuttle Bus Service']"
1109,The Sunset Dune,192,4,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1110,The Cactus View Retreat,183,3,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry']"
1111,Desert Glow Retreat,193,4.5,"['Free parking', 'Room service', 'Free High Speed Internet (WiFi)', 'Air conditioning', 'Kitchenette', 'Non-smoking rooms']"
1113,The Sage Hollow Inn,194,5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Hot Tub', 'Non-smoking hotel', 'Public Wifi', 'Non-smoking rooms', 'Suites']"
1114,The Amber Mesa Inn,272,4.5,"['Free parking', 'Free High Speed Internet (WiFi)', 'Spa', 'Hot Tub', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']"
