Name,location,Type,Reviews,Dietary Type,Price_Range
Piggy Smalls,Hawaii,Asian,4.5,"Vegetarian ,Kosher",$$$
The Pig and the Lady,Hawaii,"Vietnamese,Asian,Chinese",4.7,"Vegan ,Kosher",$$
Senia,Hawaii,"American,European",4.8,Vegetarian,$$
Fête,Hawaii,"Mediterranean,American",4.5,"Gluten-Free,Dairy-Free",$$$
Lucky Belly,Hawaii,Asian,4.4,Nut-Free,$$
Japengo,Hawaii,"Japanese,American",4.3,Dairy-Free,$$
Morimoto Waikiki,Hawaii,"Japanese,",4.7,"Vegetarian,Vegan",$$
Marukame Udon,Hawaii,Japanese,4.6,"Vegetarian ,Kosher",$$$
Ichifuji,Hawaii,Japanese,4.4,"Vegetarian,Vegan",$$
Tane Vegan Izakaya,Hawaii,"Japanese,Mexican,Italian",4.8,"Vegan,Nut-Free",$$
Nanzan Giro Giro,Hawaii,"Japanese,Mexican",4.5,Vegetarian,$
Yakitori Glad,Hawaii,"Japanese,Mediterranean",4.3,"Vegetarian,Vegan",$$
India Café,Hawaii,"Indian,Asian",4.2,"Vegetarian,Dairy-Free",$
Cafe Maharani,Hawaii,"Indian,American,Mexican",4.3,"Vegetarian,Dairy-Free,Halal",$$
Himalayan Kitchen,Hawaii,"Indian,Chinese",4.4,"Halal,Nut-Free",$$
Papa Kurt's,Hawaii,Indian,4.1,"Vegetarian,Vegan",$$
Legend Seafood Restaurant,Hawaii,"Chinese,Mediterranean",4.3,Vegetarian,$$
Jing Jing,Hawaii,"Chinese,European",4.2,"Vegetarian,Vegan",$$
Lam's Kitchen,Hawaii,"Chinese,Japanese",4.1,"Vegetarian,Vegan",$$
Mahina & Sun's,Hawaii,"Hawaiian,Mediterranean,American",4.5,"Vegetarian,Kosher",$$
Moku Kitchen,Hawaii,"American,Asian",4.4,"Gluten-Free,Kosher",$$
Mud Hen Water,Hawaii,"Hawaiian,European,Italian",4.6,"Vegetarian,Kosher",$$
Arancino,Hawaii,"Italian,Mediterranean",4.5,Vegetarian,$$
Taormina Sicilian Cuisine,Hawaii,Italian,4.4,"Gluten-Free,Halal",$$
Auntie Pasto's,Hawaii,"Italian,American",4.3,"Vegetarian,Vegan,Kosher",$$
Baci Bistro,Hawaii,"Italian,European",4.5,"Vegetarian,Nut-Free,Kosher",$$
Olive Tree Café,Hawaii,"Mediterranean,European",4.4,Vegetarian,$$
Mediterraneo,Hawaii,Mediterranean,4.5,"Vegetarian,Kosher,Halal",$$
Tango Contemporary Cafe,Hawaii,European,4.4,"Vegetarian,Kosher",$$
Taj Mahal,"Boise, Idaho","Indian,Asian",4.3,Dairy-Free,$$
Madhuban Indian Cuisine,"Boise, Idaho","Indian,Mexican",4.5,"Vegetarian,Vegan",$$
Shanghai Restaurant,"Boise, Idaho","Chinese,Japanese",4.1,"Vegetarian ,Kosher",$
Wok Inn Noodle House,"Meridian, Idaho","Chinese,European",4.2,"Vegetarian,Vegan",$
Yen Ching,"Idaho Falls, Idaho","Chinese,Mediterranean",4,"Vegan,Nut-Free",$
Sakura Japanese Restaurant,"Boise, Idaho","Japanese,American",4.4,Vegetarian,$$
Fujiyama Japanese Steakhouse,"Idaho Falls, Idaho","Japanese,Italian",4.3,"Vegetarian,Vegan",$$
Kanpai Sushi Bar,"Boise, Idaho",Japanese,4.5,"Vegetarian,Dairy-Free",$$
Mazzah Mediterranean Grill,"Boise, Idaho",Mediterranean,4.6,"Vegetarian,Dairy-Free,Halal",$$
Aladdin's Mediterranean Cuisine,"Boise, Idaho","Mediterranean,Italian",4.4,"Halal,Nut-Free",$
Cafe Ole,"Boise, Idaho","Mexican,Indian",4.3,"Vegetarian,Vegan",$
Andrade's Mexican Restaurant,"Boise, Idaho",Mexican,4.2,Vegetarian,$
Chapala Mexican Restaurant,"Nampa, Idaho","Mexican,European",4.1,"Vegetarian,Vegan",$
La Tapatia,"Caldwell, Idaho",Mexican,4,"Vegetarian,Vegan",$$
Flatbread Neapolitan Pizzeria,"Boise, Idaho",Italian,4.5,"Vegetarian,Kosher",$$
Guido's Original New York Style Pizza,"Boise, Idaho","Italian,Chinese",4.4,"Gluten-Free,Kosher",$$
Trattoria di Giovanna,"Boise, Idaho","Italian,Asian",4.6,"Vegetarian,Kosher",$$
Red Feather Lounge,"Boise, Idaho",European,4.5,Vegetarian,$$
Bittercreek Alehouse,"Boise, Idaho","American,Mediterranean",4.4,"Gluten-Free,Halal",$$
The Modern Hotel and Bar,"Boise, Idaho","American,European,Japanese",4.6,"Vegetarian,Vegan,Kosher",$$
Fork,"Boise, Idaho",American,4.5,"Vegetarian,Nut-Free,Kosher",$$
Wild Root Cafe,"Boise, Idaho",American,4.4,Vegetarian,$$
The Owyhee Tavern,"Boise, Idaho","American,Japanese,Thai",4.3,"Vegetarian,Kosher,Halal",$$
Richard's Restaurant,"Boise, Idaho",American,4.2,"Vegetarian,Kosher",$$
Grit American Cuisine,"Boise, Idaho","American,European,Chinese",4.1,Halal,$$
Diablo & Sons Saloon,"Boise, Idaho","American,Mediterranean",4,"Vegetarian, Gluten-Free",$$
The Cellar Pub,"Boise, Idaho","American,Mexican,Chinese",4.3,Nut-Free,$$
Bardenay Restaurant & Distillery,"Boise, Idaho","American,Japanese",4.4,Dairy-Free,$$
The Sandbar Patio & Grill,"Garden City, Idaho","American,Indian",4.2,Nut-Free,$$
"Lock, Stock & Barrel","Eagle, Idaho",American,4.3,Vegetarian,$$$
Mama Carolla's Old Italian Restaurant,"Indianapolis, Indiana",Italian,4.5,Vegetarian,$$
Bluebeard,"Indianapolis, Indiana",Mexican,4.7,Gluten-Free,$$$
Tinker Street,"Indianapolis, Indiana","American,Indian",4.6,Vegetarian,$$$
Livery,"Indianapolis, Indiana","Mexican,Mediterranean",4.4,Nut-Free,$$
Bazbeaux Pizza,"Indianapolis, Indiana",Italian,4.3,Vegetarian,$$
Hinata,"Indianapolis, Indiana","Japanese,Mediterranean",4.8,"Nut-Free,Vegan",$$$
Sakura Japanese Restaurant,"Indianapolis, Indiana",Japanese,4.2,Dairy-Free,$$
India Garden,"Carmel, Indiana",Indian,4.5,Vegetarian,$$
Shapiro's Delicatessen,"Indianapolis, Indiana",Mediterranean,4.6,"Kosher,Vegan",$$
Sichuan Chinese Restaurant,"Carmel, Indiana",Chinese,4.1,Nut-Free,$
Petra Cafe,"Indianapolis, Indiana",Mediterranean,4.4,Halal,$$
Nada,"Indianapolis, Indiana",Mexican,4.3,Vegetarian,$$
The Eagle,"Indianapolis, Indiana",American,4.5,"Vegetarian,Kosher",$$
Milktooth,"Indianapolis, Indiana",Indian,4.7,Vegetarian,$
Love Handle,"Indianapolis, Indiana","American,Italian",4.4,Dairy-Free,$$$
Turf Catering Kitchen,"Indianapolis, Indiana","American,Mediterranean",4.6,"Vegan,Vegetarian",$$
Geraldine's Supper Club,"Indianapolis, Indiana",American,4.5,"Kosher,Vegan",$$
Iozzo's Garden of Italy,"Indianapolis, Indiana","Italian,Indian",4.4,Vegetarian,$$
Saffron Cafe,"Indianapolis, Indiana",Mediterranean,4.3,"Vegetarian,Nut-Free",$$
Ambrosia,"Indianapolis, Indiana","Italian,European",4.5,Gluten-Free,$$
Bosphorus Istanbul Cafe,"Indianapolis, Indiana",Mediterranean,4.6,Halal,$$
Thai Spice,"Bloomington, Indiana","Asian,European",4.4,"Nut-Free,Halal",$
Sushi Bar,"Fort Wayne, Indiana","Japanese,American",4.3,Nut-Free,$
The Tamale Place,"Indianapolis, Indiana","Mexican,Chinese",4.7,Vegetarian,$$
Yats,"Indianapolis, Indiana","Chinese,Mediterranean",4.5,Vegetarian,$$
Greek's Pizzeria,"Bloomington, Indiana",Italian,4.2,"Vegetarian,Kosher",$$
Ukiyo,"Indianapolis, Indiana","Japanese,Chinese,Indian",4.6,Vegan,$$
The Loft at Traders Point Creamery,"Indianapolis, Indiana","Mediterranean,Chinese",4.5,Vegetarian,$
Mama's Korean BBQ,"Fort Wayne, Indiana","Korean,Asian,Indian",4.3,"Halal,Kosher,Vegan",$$
Bento Asian Bistro,"South Bend, Indiana",Asian,4.2,"Nut-Free,Gluten-Free",$
Istanbul Grill,"Des Moines, Iowa","Mediterranean,Mexican,Chinese",4.5,"Nut-Free,Vegan",$$
Taste of India,"Cedar Rapids, Iowa","Indian,European",4.3,Dairy-Free,$$
Miyabi 9,"Iowa City, Iowa","Japanese,Asian,Chinese",4.6,Vegetarian,$$$
Thai Flavors,"Davenport, Iowa","Asian,Chinese",4.2,"Kosher,Vegan",$$
La Regia Taqueria,"Des Moines, Iowa","Mexican,Chinese",4.7,Nut-Free,$
Django,"Des Moines, Iowa",European,4.4,Halal,$$$
The Latin King,"Des Moines, Iowa","Italian,Chinese",4.5,Vegetarian,$$
Cool Basil,"Cedar Rapids, Iowa","Asian,Indian",4.1,"Vegetarian,Kosher",$$
The Oasis Falafel,"Iowa City, Iowa","Mediterranean,European",4.6,Vegetarian,$$
Kathmandu Restaurant,"Iowa City, Iowa","Asian,European",4.4,Dairy-Free,$$
Tumea & Sons,"Davenport, Iowa",Italian,4.3,"Vegan,Vegetarian",$$
Soseki Cafe,"Des Moines, Iowa","Japanese,Indian",4.5,"Kosher,Vegan",$$
Cafe Dodici,"Washington, Iowa","European,Indian",4.7,Vegetarian,$$
The Lucky Lotus,"Des Moines, Iowa","Asian,Japanese,Chinese",4.2,"Vegetarian,Nut-Free",$$
Malo,"Des Moines, Iowa","Mexican,Mediterranean",4.3,Gluten-Free,$$$
Proof,"Des Moines, Iowa","European,Mediterranean",4.6,Halal,$$
The Dumpling Darling,"Des Moines, Iowa","Asian,Chinese",4.5,"Nut-Free,Halal",$
Bubba,"Iowa City, Iowa","American,Mediterranean,Asian",4,Nut-Free,$$
The Tacopocalypse,"Des Moines, Iowa","Mexican,Asian",4.4,Vegetarian,$$
Himalayan Spice,"Cedar Rapids, Iowa","Indian,Japanese",4.3,Vegetarian,$
Mongolian Grill,"West Des Moines, Iowa",Asian,4.1,"Vegetarian,Kosher",$$
The Café,"Iowa City, Iowa","American,Asian,Mexican",4.5,Vegan,$$
Zombie Burger + Drink Lab,"Des Moines, Iowa",American,4.4,Vegetarian,$$
A Dong,"Des Moines, Iowa","Asian,Mexican",4.2,"Halal,Kosher,Vegan",$$
Pho All Seasons,"Cedar Rapids, Iowa","Asian,Indian",4.3,"Nut-Free,Gluten-Free",$$
Tasty Tacos,"Des Moines, Iowa",Mexican,4.6,"Vegetarian, Vegan",$$
Dough Mama Pizzeria,"Iowa City, Iowa","Italian,European",4.4,Gluten-Free,$
The Gursha Ethiopian,"Des Moines, Iowa",African,4.5,Vegetarian,$$
Baru 66,"Davenport, Iowa","Mexican,Mediterranean",4.3,Vegetarian,$$
The Cheese Shop,"Des Moines, Iowa","European,Indian",4.4,Vegetarian,$$
Blue Koi,"Kansas City, Kansas","Chinese,Mediterranean",4.5,"Nut-free,Vegan",$$
Jarocho Pescaderia,"Kansas City, Kansas",Mexican,4.7,"Dairy-free,Vegetarian",$$
Boru Ramen,"Overland Park, Kansas","Japanese,Mexican",4.3,Vegetarian,$$
Taj Mahal Indian Restaurant,"Overland Park, Kansas",Indian,4.4,"Vegetarian, Vegan",$$
Thai Siam,"Lawrence, Kansas",Thai,4.6,"Vegan,Dairy-free",$
Mediterranean Grill & Cafe,"Overland Park, Kansas","Mediterranean,European",4.2,"Halal,Dairy-free",$$
Cafe Provence,"Prairie Village, Kansas",European,4.5,Gluten-free,$$$
Le Fou Frog,"Kansas City, Kansas",European,4.6,"Vegetarian,",$$$
Waldo Thai,"Kansas City, Kansas","Thai,Asian,Indian",4.8,"Vegan,Kosher",$$
El Camino Real,"Kansas City, Kansas",Mexican,4.1,Vegetarian,$
Pig & Finch,"Leawood, Kansas",American,4.3,"Nut-free,Halal",$$
Siena Tuscan Steakhouse,"Overland Park, Kansas","Italian,Mediterranean",4.5,Gluten-free,$$$
ABC Cafe,"Lawrence, Kansas",Chinese,4,"Vegetarian,Halal",$
Kin Lin,"Lawrence, Kansas","Chinese,Mediterranean",4.2,Dairy-free,$
Genghis Khan,"Manhattan, Kansas","Asian,Mediterranean",4.1,"Nut-free,Halal",$$
Aoyama Ramen,"Lawrence, Kansas",Japanese,4.4,Vegetarian,$
Manna Wok,"Overland Park, Kansas",Chinese,4.3,"Nut-free,Vegan",$
Taco Via,"Shawnee, Kansas","Mexican,European",3.9,"Vegetarian,Dairy-free,Kosher",$$
Italian Gardens,"Kansas City, Kansas",Italian,4.2,Vegetarian,$$
Paisano's Ristorante,"Olathe, Kansas",Italian,4.3,Gluten-free,$$
Nara,"Overland Park, Kansas","Japanese,European",4.5,"Vegan,Dairy-free",$
Tasty Thai,"Lawrence, Kansas","Thai,European,Asian",4.4,Vegetarian,$$$
Bella Napoli,"Mission, Kansas","Italian,Mediterranean",4.3,"Vegetarian,Kosher",$$
Juniper,"Manhattan, Kansas","American,European",4.6,"Gluten-free,Kosher",$$
The Russell,"Wichita, Kansas",American,4.4,Vegetarian options,$
Lulu's Thai Noodle Shop,"Lawrence, Kansas","Thai,European,Asian",4.5,"Vegan,Halal",$$
Yokohama Ramen,"Topeka, Kansas","Japanese,Chinese",4.2,"Vegetarian,Kosher,Halal",$
Taj Palace,"Overland Park, Kansas","Indian,Chinese",4.3,"Vegetarian, Vegan",$$
El Potro Mexican Cafe,"Overland Park, Kansas",Mexican,4.1,Vegetarian,$$
Zou's Japanese Restaurant,"Lenexa, Kansas","Japanese,European",4.4,"Nut-free,Kosher",$$
Mayan Café,"Louisville, Kentucky","Mexican,Asian,Indian",4.6,"Vegetarian,Vegan,Kosher",$$
Shalimar Indian Cuisine,"Lexington, Kentucky","Indian,Chinese,Mediterranean",4.4,"Vegetarian,Gluten-Free",$$
Bamboo House,"Louisville, Kentucky","Chinese,Japanese",4.3,Nut-Free,$
Ostra,"Louisville, Kentucky","Mediterranean,Mexican",4.5,"Dairy-Free,Nut-Free",$$$
The Bombay Grill,"Lexington, Kentucky","Indian,Mediterranean",4.2,"Halal,Dairy-Free",$$
Tandoori Fusion,"Louisville, Kentucky","Indian,Italian",4.5,Vegetarian,$$
Jasmine Chinese Restaurant,"Lexington, Kentucky",Chinese,4.1,Nut-Free,$
Miyako Poke & Sushi,"Louisville, Kentucky",Japanese,4.4,Vegan ,$$
Saffron's Persian Cuisine,"Louisville, Kentucky","Japanese,Italian",4.7,"Vegetarian, Gluten-Free",$
Naf Naf Grill,"Lexington, Kentucky",Mediterranean,4.3,"Halal,Kosher",$$
Al-Watan,"Louisville, Kentucky","Mexican,Chinese",4.5,"Halal,Gluten-Free",$$
Kashmir Indian Restaurant,"Lexington, Kentucky","Indian,Japanese",4.4,Vegetarian,$$
Oskar's Slider Bar,"Louisville, Kentucky","American,Italian",4.2,"Vegan,Kosher",$$
The Eagle,"Lexington, Kentucky",American,4.5,Vegetarian,$$
Mita's,"Cincinnati, Kentucky","Japanese,European,American",4.6,Vegetarian ,$
Los Aztecas,"Louisville, Kentucky","Mexican,Japanese",4.3,"Vegetarian,Nut-Free",$
El Molcajete,"Lexington, Kentucky",Mexican,4.2,"Kosher,Halal",$$
Cafe Lou Lou,"Louisville, Kentucky","Italian,Indian",4.5,Vegetarian ,$
Simply Thai,"Lexington, Kentucky","Thai,Asian,Chinese",4.4,"Nut-Free,Dairy-Free",$$
Taj India,"Louisville, Kentucky",Indian,4.6,"Vegetarian,Vegan",$$
Bourbon n' Toulouse,"Lexington, Kentucky",Chinese,4.5,"Kosher,Vegan,Gluten-Free",$
Taco Luchador,"Louisville, Kentucky","Mexican,Italian",4.3,Vegetarian ,$$
Nam Nam Cafe,"Lexington, Kentucky","Vietnamese,Asian",4.4,"Vegetarian, Gluten-Free",$$
Shahar Cafe,"Louisville, Kentucky","Mexican,American",4.6,"Halal,Vegan,Nut-Free",$$
The Grape Leaf,"Lexington, Kentucky",Mediterranean,4.5,Vegetarian,$$
Pasha Mediterranean Grill,"Louisville, Kentucky","Mediterranean,Chinese,Italian",4.4,"Vegetarian, Vegan",$$
Sarang,"Lexington, Kentucky","Chinese,Italian",4.3,"Vegetarian ,Kosher",$$
Epping's on Eastside,"Louisville, Kentucky",American,4.5,"Gluten-Free,Vegan ",$
Bella Notte,"Lexington, Kentucky",Italian,4.4,"Vegetarian,Halal ",$$
The Cafe,"Louisville, Kentucky","American,Italian,Indian",4.6,"Vegetarian, Gluten-Free",$$
Dong Phuong Oriental Bakery,"New Orleans, Louisiana","Chinese,Italian,European",4.5,"Vegetarian,Gluten-Free",$
Saffron NOLA,"New Orleans, Louisiana","Indian,Mexican",4.6,Nut-Free,$$
Bombay Club,"New Orleans, Louisiana",Indian,4.4,"Dairy-Free,Nut-Free",$$$
Sukho Thai,"New Orleans, Louisiana",Asian,4.5,"Halal,Dairy-Free",$$
Jazmine Cafe,"New Orleans, Louisiana","Thai,Asian,Mexican",4.7,Vegetarian,$
Kin,"New Orleans, Louisiana","Asian,European",4.5,Nut-Free,$$
Mopho,"New Orleans, Louisiana","Asian,Japanese",4.4,Vegan ,$$
Ba Chi Canteen,"New Orleans, Louisiana",Asian,4.3,"Vegetarian, Gluten-Free",$$
Carmo,"New Orleans, Louisiana","Mexican,Japanese",4.6,"Halal,Kosher",$$$
Maypop,"New Orleans, Louisiana",Asian Fusion,4.5,"Halal,Gluten-Free",$$
Saba,"New Orleans, Louisiana","Mediterranean,Italian",4.7,Vegetarian,$$$
Shaya,"New Orleans, Louisiana",Mediterranean,4.8,"Vegan,Kosher",$$
Saffron Restaurant,"New Orleans, Louisiana","Indian,Chinese,Japanese",4.3,Vegetarian,$$$
Balkan Bistro,"New Orleans, Louisiana","European,Mexican",4.4,Vegetarian ,$$$
Cafe Degas,"New Orleans, Louisiana","European,Indian",4.5,"Vegetarian,Nut-Free",$$$
La Petite Grocery,"New Orleans, Louisiana","European,Chinese",4.7,"Kosher,Halal",$$$
Lilette,"New Orleans, Louisiana","Italian,Indian",4.6,Vegetarian ,$$$
Brigtsen's,"New Orleans, Louisiana","Mexican,Japanese",4.7,"Nut-Free,Dairy-Free",$$$
Clancy's,"New Orleans, Louisiana","Asian,Japanese,Indian",4.8,"Vegetarian,Vegan",$$$
Commander's Palace,"New Orleans, Louisiana","Chinese,Asian",4.8,"Kosher,Vegan,Gluten-Free",$$$
Doris Metropolitan,"New Orleans, Louisiana","American,Steakhouse,Chinese",4.6,Vegetarian ,$$$
GW Fins,"New Orleans, Louisiana","Mediterranean,Italian",4.7,"Vegetarian, Gluten-Free",$$$
Herbsaint,"New Orleans, Louisiana","Italian,Mexican",4.6,"Halal,Vegan,Nut-Free",$$$
La Boca,"New Orleans, Louisiana","Mexican,Chinese",4.5,"Vegan,Dairy-free",$$$
Patois,"New Orleans, Louisiana","French,Chinese,Asian",4.6,"Halal,Dairy-free",$$$
Peche Seafood Grill,"New Orleans, Louisiana","American,Steakhouse",4.7,Gluten-free,$$
Restaurant August,"New Orleans, Louisiana","American,Steakhouse",4.7,"Vegetarian,",$
Rosedale,"New Orleans, Louisiana","American,Italian",4.4,"Nut-Free,Dairy-Free",$$$
Saba Restaurant,"New Orleans, Louisiana","Mediterranean,European",4.7,"Vegetarian,Vegan",$$$
The Chimes,"Baton Rouge, Louisiana","American,Japanese",4.3,"Kosher,Vegan,Gluten-Free",$$$
Fore Street,"Portland, Maine","American,Italian,Mexican",4.7,"Vegetarian,,Vegan,Dairy-Free",$$$
Eventide Oyster Co.,"Portland, Maine","Japanese,Asian",4.8,"Nut-Free,Kosher",$$$
Duckfat,"Portland, Maine","American,Chinese,Asian",4.6,"Vegetarian,Nut-Free",$$
Central Provisions,"Portland, Maine","Mexican,Italian",4.7,Gluten-Free ,$$$
The Honey Paw,"Portland, Maine","Asian,Mexican",4.5,"Vegan,Kosher,Dairy-Free",$$
Scales,"Portland, Maine","European,Italian,Asian",4.6,Nut-Free,$$$
Street & Co.,"Portland, Maine","Mediterranean,Japanese",4.6,"Dairy-Free,Halal",$$$
Suzuki's Sushi Bar,"Portland, Maine","Japanese,Mexican",4.5,"Nut-Free,Dairy-Free",$$
Pai Men Miyake,"Portland, Maine","Japanese,Thai,Asian",4.4,"Vegetarian,Dairy-Free",$$
Yosaku,"Portland, Maine","Japanese,European,Asian",4.3,Gluten-Free,$$
Taj Indian Cuisine,"Portland, Maine","Indian,European",4.2,Vegetarian,$$
Masala Mahal,"South Portland, Maine","Indian,Mediterranean",4.1,"Halal,Nut-Free",$
Shere Punjab,"Bangor, Maine","Indian,Asian,Chinese",4,"Vegetarian,Halal",$$
Veranda Asian Cuisine,"Portland, Maine","Asian,Chinese",4.3,"Vegan,Kosher",$$
Empire Chinese Kitchen,"Portland, Maine","Chinese,Indian",4.2,"Nut-Free,Kosher",$$
Zhu's Garden,"Brunswick, Maine","Chinese,Italian",4.1,Vegetarian,$$
Mediterranean Grill,"Portland, Maine","Mediterranean,Italian",4.4,"Dairy-Free,Vegan",$$
Figgy's Takeout,"Portland, Maine","Mediterranean,Asian",4.3,"Gluten-Free,Kosher",$$
Olive Cafe,"Portland, Maine","Mediterranean,Mexican",4.2,"Vegetarian,Vegan",$$
Evo Kitchen + Bar,"Portland, Maine","European,Mediterranean",4.5,"Vegan,Nut-Free",$$
Caraola's Italian Restaurant,"Portland, Maine","Italian,European",4.4,"Vegetarian,Dairy-Free",$$$
Ribollita,"Portland, Maine","Italian,Chinese",4.3,"Gluten-Free,Vegan",$$$
Vinland,"Portland, Maine",New American,4.6,"Vegetarian,Kosher",$$
The Garlic,"Bar Harbor, Maine","European,Indian",4.5,"Vegetarian,Nut-Free",$$
The Lost Kitchen,"Freedom, Maine","American,Japanese",4.8,"Vegetarian,Vegan,Dairy-Free",$$$
Primo,"Rockland, Maine","Italian,Mexican",4.7,"Vegetarian,Halal",$$$
Tandem Coffee + Bakery,"Portland, Maine","Chinese,European",4.5,"Vegetarian,,Vegan",$$
Big Tree Hospitality,"Portland, Maine","American,Steakhouse",4.4,"Vegetarian,Nut-Free",$$$
The Well at Jordan's Farm,"Cape Elizabeth, Maine","Chinese,European,Mexican",4.6,"Vegetarian,Kosher",$$
The Black Tie Co.,"Portland, Maine","Italian,Japanese,Asian",4.5,"Vegetarian,Halal,Dairy-Free",$$$
The Helmand,"Baltimore, Maryland",Mediterranean,4.6,"Vegetarian,Gluten-Free,Halal",$$
Sushi Sono,"Columbia, Maryland","Japanese,Mexican,Italian",4.7,"Nut-Free,Dairy-Free",$$
Indigma,"Baltimore, Maryland","Indian,Asian,Chinese",4.3,"Vegetarian,Vegan",$
Peter Chang,"Rockville, Maryland","Chinese,Asian",4.4,"Nut-Free,Dairy-Free,Vegan",$$$
Maiwand Kabob,"Baltimore, Maryland","Mediterranean,European",4.5,"Halal,Dairy-Free,Vegan",$$$
Zatinya,"Baltimore, Maryland",Mediterranean,4.5,"Vegetarian,Halal",$$
Cinghiale,"Baltimore, Maryland",Italian,4.6,"Gluten-Free,Dairy-Free,Vegan",$
The Food Market,"Baltimore, Maryland","American,Mexican",4.4,Vegetarian ,$$
Ekiben,"Baltimore, Maryland","Asian,Chinese",4.8,Nut-Free,$$$
Clavel,"Baltimore, Maryland","Mexican,European",4.7,Vegetarian,$$
Cosima,"Baltimore, Maryland","Italian,Mexican",4.5,"Vegetarian,Gluten-Free",$$
Sardis,"Baltimore, Maryland","Mediterranean,Italian",4.4,"Vegetarian,Vegan",$$
Namaste Baltimore,"Baltimore, Maryland","Indian,Japanese,Italian",4.2,"Vegetarian,Nut-Free",$$$
Kippo Ramen,"Rockville, Maryland","Japanese,Italian",4.5,"Nut-Free,Vegan",$$$
Ambassador Dining Room,"Baltimore, Maryland","Indian,Japanese,Asian",4.3,"Vegetarian,Dairy-Free,Vegan",$$
Tio Pepe,"Baltimore, Maryland","European,Italian",4.7,"Vegetarian,Dairy-Free,Vegan ",$$$
The Black Olive,"Baltimore, Maryland",Mediterranean,4.6,"Vegetarian, Gluten-Free,Halal",$$
Ouzo Beach,"Ocean City, Maryland","European,Japanese",4.4,Vegetarian,$$
Koco's Pub,"Baltimore, Maryland","American,Mediterranean,European",4.5,Kosher,$$$
La Cuchara,"Baltimore, Maryland","Mediterranean,Mexican",4.6,"Vegetarian,Vegan ",$$$
Mama's on the Half Shell,"Baltimore, Maryland","American,European",4.3,"Kosher,Nut-Free",$$
Thames Street Oyster House,"Baltimore, Maryland","European,Mediterranean",4.5,"Nut-Free,Halal",$
The Capital Grille,"Baltimore, Maryland","American,Steakhouse,Asian",4.4,"Gluten-Free,Halal",$$$
Alma Cocina Latina,"Baltimore, Maryland","American,Chinese",4.7,"Vegetarian, Vegan",$$
Cava Mezze,"Rockville, Maryland","Mediterranean,Asian,Chinese",4.5,"Vegetarian, Gluten-Free",$$$
Shotti's Point,"Ocean City, Maryland","American,Steakhouse",4.4,"Kosher,Vegan",$$$
Liquid Earth,"Baltimore, Maryland","Indian,European,Italian",4.5,"Vegan,Dairy-Free,Vegan",$$
Sweetgreen,"Multiple Locations, Maryland","Asian,Thai,Chinese",4.3,"Vegetarian,Vegan",$$
True Chesapeake Oyster Co.,"Baltimore, Maryland","Indian,Mexican,Chinese",4.6,"Kosher,Halal",$$$
The Olive Room,"Easton, Maryland","Mediterranean,Italian",4.5,"Vegetarian,Vegan",$$$
Zingerman's Delicatessen,"Ann Arbor, Michigan",American,4.7,Kosher,$$
Slurping Turtle,"Ann Arbor, Michigan","Japanese,Thai",4.4,Nut-free,$$
Cardamom,"Ann Arbor, Michigan","Indian,Asian",4.5,Vegetarian,$$
Shangri-La,"West Bloomfield, Michigan","Chinese,Italian",4.3,Nut-free,$
Bangkok 96,"Farmington Hills, Michigan","Asian,European",4.6,Vegan,$$
The Chop House,"Ann Arbor, Michigan",Mexican,4.5,Gluten-free,$$$
The Earle,"Ann Arbor, Michigan","Italian,European",4.6,Vegetarian,$$$
La Dolce Vita,"Detroit, Michigan",Italian,4.2,Vegetarian,$$
M Cantina,"Detroit, Michigan","Mexican,American",4.3,Vegetarian,$$
Ima,"Detroit, Michigan","Asian,Mexican",4.4,Vegan,$
Sahara Restaurant,"Dearborn, Michigan","Mediterranean,European",4.5,Halal,$$
Star Deli,"West Bloomfield, Michigan","American,Steakhouse",4.3,Kosher,$
Sysco Lebanese Grill,"Dearborn, Michigan","Asian,European",4.6,Halal,$$
The Pink Door,"Detroit, Michigan","Italian,European,Mexican",4.1,Vegetarian,$$
Besa,"Detroit, Michigan","Mediterranean,Asian",4.4,Vegetarian,$$
The Kitchen by Cooking with Que,"Detroit, Michigan","American,Steakhouse,Italian",4.5,Gluten-free,$$
The Grange Kitchen & Bar,"Ann Arbor, Michigan","American,Asian",4.3,Vegetarian,$$
Detroit Vegan Soul,"Detroit, Michigan","Mediterranean,Asian",4.6,Vegan,$
Seva,"Ann Arbor, Michigan","American,Steakhouse",4.4,Vegan,$$
The Lunch Room,"Ann Arbor, Michigan","American,Mediterranean",4.5,Vegan,$$
The Brinery,"Ann Arbor, Michigan","Asian,Indian,Mexican",4.2,Vegetarian,$$
Pacific Rim by Kana,"Ann Arbor, Michigan","Japanese,Mexican",4.6,Nut-free,$$
Nagomi Sushi,"Novi, Michigan","Japanese,Italian",4.5,Nut-free,$$
Maru Sushi,"Detroit, Michigan","Indian,Asian,Mexican",4.4,Gluten-free,$$
A Taste of India,"Troy, Michigan","Indian,Mediterranean",4.3,Vegetarian,$
Bombay Cuisine,"Canton, Michigan","Indian,Italian,European",4.2,Vegetarian,$$
Neehee's Indian Street Food,"Canton, Michigan","Mediterranean,Italian,European",4.7,Vegetarian,$
Pita Cafe,"Dearborn, Michigan","Mediterranean,Japanese",4.4,Halal,$$
La Marsa,"Troy, Michigan","Mediterranean,Indian",4.3,Halal,$$
Amani's,"Dearborn, Michigan","Mediterranean,Indian",4.5,Halal,$$
